,ch-free,chi-inuse,imp(%),osg-inuse
2021-07-16 16:42:53.280824+00:00,272,2,0.0,0
2021-07-16 16:42:53.340639+00:00,273,1,0.0,0
2021-07-16 16:42:53.412385+00:00,273,1,0.0,0
2021-07-16 16:42:53.479928+00:00,273,1,0.0,0
2021-07-16 16:42:53.541825+00:00,272,2,0.0,0
2021-07-16 16:42:53.593374+00:00,273,1,0.0,0
2021-07-16 16:42:53.667959+00:00,273,1,0.0,0
2021-07-16 16:42:53.743278+00:00,273,1,0.0,0
2021-07-16 16:42:53.814858+00:00,273,1,0.0,0
2021-07-16 16:42:53.882156+00:00,273,1,0.0,0
2021-07-16 16:42:53.949245+00:00,273,1,0.0,0
2021-07-16 16:42:54.027859+00:00,266,8,0.0,0
2021-07-16 16:42:54.093996+00:00,273,1,0.0,0
2021-07-16 16:42:54.162790+00:00,272,2,0.0,0
2021-07-16 16:42:54.211180+00:00,273,1,0.0,0
2021-07-16 16:42:54.278353+00:00,264,10,0.0,0
2021-07-16 16:42:54.355960+00:00,264,10,0.0,0
2021-07-16 16:42:54.425412+00:00,273,1,0.0,0
2021-07-16 16:42:54.500421+00:00,273,1,0.0,0
2021-07-16 16:42:54.570056+00:00,273,1,0.0,0
2021-07-16 16:42:54.636794+00:00,273,1,0.0,0
2021-07-16 16:42:54.703016+00:00,273,1,0.0,0
2021-07-16 16:42:54.781330+00:00,273,1,0.0,0
2021-07-16 16:42:54.857359+00:00,273,1,0.0,0
2021-07-16 16:42:54.933679+00:00,273,1,0.0,0
2021-07-16 16:42:55.010133+00:00,273,1,0.0,0
2021-07-16 16:42:55.079384+00:00,273,1,0.0,0
2021-07-16 16:42:55.151042+00:00,273,1,0.0,0
2021-07-16 16:42:55.215249+00:00,273,1,0.0,0
2021-07-16 16:42:55.274007+00:00,272,2,0.0,0
2021-07-16 16:42:55.331374+00:00,273,1,0.0,0
2021-07-16 16:42:55.398977+00:00,273,1,0.0,0
2021-07-16 16:42:55.472020+00:00,273,1,0.0,0
2021-07-16 16:42:55.541822+00:00,273,1,0.0,0
2021-07-16 16:42:55.619972+00:00,273,1,0.0,0
2021-07-16 16:42:55.699172+00:00,273,1,0.0,0
2021-07-16 16:42:55.768778+00:00,273,1,0.0,0
2021-07-16 16:42:55.833619+00:00,272,2,0.0,0
2021-07-16 16:42:55.889973+00:00,273,1,0.0,0
2021-07-16 16:42:55.954239+00:00,273,1,0.0,0
2021-07-16 16:42:56.030592+00:00,273,1,0.0,0
2021-07-16 16:42:56.111071+00:00,273,1,0.0,0
2021-07-16 16:42:56.182410+00:00,273,1,0.0,0
2021-07-16 16:42:56.251733+00:00,273,1,0.0,0
2021-07-16 16:42:56.324616+00:00,273,1,0.0,0
2021-07-16 16:42:56.389906+00:00,273,1,0.0,0
2021-07-16 16:42:56.458001+00:00,273,1,0.0,0
2021-07-16 16:42:56.538121+00:00,272,2,0.0,0
2021-07-16 16:42:56.591398+00:00,272,2,0.0,0
2021-07-16 16:42:56.650681+00:00,273,1,0.0,0
2021-07-16 16:42:56.717628+00:00,273,1,0.0,0
2021-07-16 16:42:56.787315+00:00,273,1,0.0,0
2021-07-16 16:42:56.861813+00:00,273,1,0.0,0
2021-07-16 16:42:56.937685+00:00,273,1,0.0,0
2021-07-16 16:42:57.013780+00:00,273,1,0.0,0
2021-07-16 16:42:57.087877+00:00,273,1,0.0,0
2021-07-16 16:42:57.164197+00:00,273,1,0.0,0
2021-07-16 16:42:57.233589+00:00,273,1,0.0,0
2021-07-16 16:42:57.302753+00:00,273,1,0.0,0
2021-07-16 16:42:57.377943+00:00,273,1,0.0,0
