EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES,node_type
2018-11-28 20:48:16,108938896.0,05515ca4c1b65261593b114d7b7cf269,DISABLE,"{'placement.rack': 0, 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016'}",compute_haswell
2018-12-12 19:21:04,110143264.0,a73104df5d6859706ecfbab56df78f29,ENABLE,"{'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016'}",compute_haswell
2018-12-19 19:16:28,110747788.0,05515ca4c1b65261593b114d7b7cf269,ENABLE,"{'placement.rack': 0, 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016'}",compute_haswell
2018-12-20 00:22:04,110766124.0,3a9800c4b261fdc8595ed40da7568ccc,ENABLE,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",compute_haswell
2019-02-20 15:09:24,116176164.0,64b96f6f5682ef16d69bf53e80025355,UPDATE,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '137438953472', 'architecture.platform_type': 'x86_64', 'placement.rack': 7}",compute_haswell
2019-05-01 01:04:29,122173469.0,0bc049427471a3d7ad7d83d3f7a5d849,ENABLE,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956949504', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016'}",compute_haswell
2019-05-01 01:38:54,122175534.0,37339182af7f34ab259462a687c0f4f1,DISABLE,"{'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'placement.rack': 0, 'architecture.smp_size': '2', 'node_type': 'compute_haswell'}",compute_haswell
2019-05-01 05:20:45,122188845.0,447c6a1c415ee269769f71fae4dc1e04,ENABLE,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'placement.rack': 0}",compute_haswell
2019-05-07 20:19:42,122761182.0,447c6a1c415ee269769f71fae4dc1e04,DISABLE,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'placement.rack': 0}",compute_haswell
2019-05-10 18:41:08,123014468.0,37339182af7f34ab259462a687c0f4f1,ENABLE,"{'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'placement.rack': 0, 'architecture.smp_size': '2', 'node_type': 'compute_haswell'}",compute_haswell
2019-05-22 16:07:44,124042064.0,4dd95b89fbf9d20c41adb24bd29cbf90,DISABLE,"{'main_memory.ram_size': '134956859392', 'placement.rack': 0, 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016'}",compute_haswell
2019-07-12 20:37:17,128464637.0,89c90cf85c9fc2650cea3a6d20d311f4,DISABLE,"{'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",compute_haswell
2019-07-15 14:43:16,128702596.0,05515ca4c1b65261593b114d7b7cf269,DISABLE,"{'placement.rack': 0, 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016'}",compute_haswell
2019-07-30 16:05:47,130003547.0,4dd95b89fbf9d20c41adb24bd29cbf90,ENABLE,"{'main_memory.ram_size': '134956859392', 'placement.rack': 0, 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016'}",compute_haswell
2019-08-07 20:48:03,130711683.0,2ce4424428127dfc01aa6ac57c7ed6a2,DISABLE,"{'architecture.platform_type': 'x86_64', 'placement.rack': 4, 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'architecture.smp_size': '2'}",compute_haswell
2019-08-08 18:08:41,130788521.0,2ce4424428127dfc01aa6ac57c7ed6a2,ENABLE,"{'architecture.platform_type': 'x86_64', 'placement.rack': 4, 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'architecture.smp_size': '2'}",compute_haswell
2019-09-03 19:39:44,133040384.0,05515ca4c1b65261593b114d7b7cf269,ENABLE,"{'placement.rack': 0, 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016'}",compute_haswell
2019-09-16 17:49:05,134156945.0,177cce3fe48597bd63d46bf3cda280e7,DISABLE,"{'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'placement.rack': 1, 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",compute_haswell
