EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES
2018-03-14T15:39:52,86542792.0,8a38cf91a516eb513097137169330b49,UPDATE,"{'placement.rack': 1, 'node_type': 'lowpower_xeon', 'storage_devices.0.size': '120034123776', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '1', 'main_memory.ram_size': '33285996544', 'architecture.smt_size': '8'}"
2018-02-16T19:17:31,84309451.0,493abfabf820a399358ea2483ae46ef0,CREATE,"{'architecture.smp_size': '2', 'architecture.smt_size': '48', 'placement.rack': 3, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '240057409536', 'node_type': 'compute_skylake', 'main_memory.ram_size': '205084688384'}"
2015-06-26T20:52:16,852736.0,2b10f920f9c8bf98a1809a3da856504a,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'placement.rack': 4, 'architecture.platform_type': 'x86_64'}"
2018-03-14T15:39:52,86542792.0,2b10f920f9c8bf98a1809a3da856504a,UPDATE,"{'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'placement.rack': 4}"
2015-06-26T20:52:21,852741.0,ef5681811e92c287025e7640768f0373,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'placement.rack': 7}"
2019-02-20T15:08:52,116176132.0,ef5681811e92c287025e7640768f0373,UPDATE,"{'main_memory.ram_size': '137438953472', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'placement.rack': 7, 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016'}"
2016-06-28T17:30:15,32635815.0,3cb44797d3b51f804d97051bb2f8aec5,CREATE,"{'main_memory.ram_size': 'None', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': None}"
2020-06-16T20:58:07,157841887.0,3cb44797d3b51f804d97051bb2f8aec5,UPDATE,"{'node_type': 'gpu_m40', 'main_memory.ram_size': 'None', 'storage_devices.0.size': '250059350016', 'placement.rack': 2, 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2'}"
2015-07-06T19:30:31,1711831.0,0c3b5a48061a82dc4fc77f76a80a65f3,CREATE,"{'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016'}"
2018-03-14T15:39:53,86542793.0,0c3b5a48061a82dc4fc77f76a80a65f3,UPDATE,"{'node_type': 'compute_haswell_ib', 'architecture.smt_size': '48', 'placement.rack': 0, 'architecture.smp_size': '2', 'main_memory.ram_size': '137438953472', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016'}"
